Enzyme	Molecular-Weight-KiloDaltons	Names
EG12285-MONOMER	23.445	sgbH // yiaQ // b3581 // ECK3570
CPLX0-301	340.0	ubiD // yigY // yigC // b3843 // ECK3835
EG11905-MONOMER	23.555	fsaB // yijG // talC // b3946 // ECK3938
CPLX0-201	257.0	fsaA // ybiZ // fsa // mipB // b0825 // ECK0815
FRUCBISALD-CLASSII	78.0	fbaA // ald // fba // fda // b2925 // ECK2921
FRUCBISALD-CLASSI	340.0	fbaB // dhnA // b2097 // ECK2090
CPLX0-7633		fucA // fucC // prd // b2800 // ECK2795
RHAMNULPALDOL-CPLX	135.0	rhaD // b3902 // ECK3895
CPLX0-7615		garL // yhaF // b3126 // ECK3114
CPLX0-3936	104.0	folB // ygiG // b3058 // ECK3048
CPLX0-7940		yagE // b0268 // ECK0269
G7911-MONOMER	32.722	yjhH // b4298 // ECK4287
DEOXYRIBOSE-P-ALD-MONOMER	27.734 // 27.2	deoC // tlr // dra // thyR // b4381 // ECK4373
TAGAALDOL2-MONOMER	30.812	gatY // yegF // b2096 // ECK2089
CPLX0-240		kbaY // yraC // kba // agaY // b3137 // ECK3125
LTAA-CPLX	140.0	ltaE // ltaA // ybjU // b0870 // ECK0861
CPLX0-8123		queD // ygcM // sscR // b2765 // ECK2760
CPLX0-7723		yfaU // b2245 // ECK2238
KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX	68.0	eda // hga // kdgA // kga // b1850 // ECK1851
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	21.391 // 21.3836	dgoA // b3692 // yidU // b4477 // ECK3685
EG11846-MONOMER	31.983	yihT // squT // b3881 // ECK3874
ISOCIT-LYASE	188.0	aceA // icl // b4015 // ECK4007
ACNEULY-CPLX	105.0	nanA // npl // b3225 // ECK3214
CPLX0-1021	130.0	prpB // yahQ // b0331 // ECK0329
CPLX0-7882		menB // b2262 // ECK2256
ADCLY-CPLX	50.0	pabC // b1096 // ECK1082
MHPELY-MONOMER	36.47	mhpE // b0352 // ECK0349
CHORPYRLY-MONOMER	18.777 // 19.0	ubiC // b4039 // ECK4031
ACECITLY-CPLX		citD // ybdX // b0617 // ECK0610 // citF // ybdV // b0615 // ECK0608 // citE // ybdW // b0616 // ECK0609
TRYPTOPHAN-CPLX	223.0	tnaA // ind // tnaR // b3708 // ECK3701
DIOHBUTANONEPSYN-CPLX	46.0	ribB // luxH // htrP // luxH-l // b3041 // ECK3032
THIC-MONOMER	70.85 // 68.0	thiC // b3994 // ECK3986
THIH-MONOMER	43.32 // 42.0	thiH // thiB // b3990 // ECK3981
EG11595-MONOMER	37.346 // 39.0	moaA // bisA // chlA // chlA1 // narA // b0781 // ECK0770
EG10736-MONOMER	53.667	phr // phrB // b0708 // ECK0697
CPLX0-8544		nanY // yjhC // b4280 // ECK4270
EG10487-MONOMER	35.092	hypE // hydB // b2730 // ECK2725
EG11383-MONOMER	22.982	elbB // yzzB // elb2 // s27a // yhbL // b3209 // ECK3198
CPLX0-7521		can // yadF // b0126 // ECK0125
CARBODEHYDRAT-CPLX	50.0	cynT // b0339 // ECK0336
AROD-CPLX	58.0	aroD // b1693 // ECK1691
ENOLASE-CPLX	90.0	eno // b2779 // ECK2773
O-SUCCINYLBENZOATE-COA-SYN-MONOMER	35.477	menC // b2261 // ECK2255
PGLUCONDEHYDRAT-MONOMER	64.639	edd // b1851 // ECK1852
CPLX0-7732		murQ // yfeU // b2428 // ECK2423
EG11758-MONOMER	54.65	nnr // yjeF // b4167 // ECK4163
GALACTONATE-DEHYDRATASE-MONOMER	42.523 // 43.0	dgoD // b3692 // yidU // b4478 // ECK3684
CARNRACE-MONOMER	28.19 // 30.0	caiD // yaaL // b0036 // ECK0037
G6714-MONOMER	27.237	paaF // ydbR // ydbS // b1393 // ECK1390
IMIDHISTID-CPLX		hisB // b2022 // ECK2017
FUMARASE-C	200.0	fumC // b1611 // ECK1606
EG11162-MONOMER	19.272	fumE // yggD // b2929 // ECK2925
G6903-MONOMER	7.907	fumD // ydhZ // b1675 // ECK1671
FUMARASE-B	120.0	fumB // b4122 // ECK4115
FUMARASE-A	120.0	fumA // b1612 // ECK1607
TRYPSYN	146.5	trpA // try // tryp // b1260 // ECK1254 // trpB // b1261 // ECK1255
CPLX0-2401	89.0	trpB // b1261 // ECK1255
TRYPSYN-APROTEIN	28.724 // 30.0	trpA // try // tryp // b1260 // ECK1254
PORPHOBILSYNTH-CPLX	270.0	hemB // ncf // b0369 // ECK0366
LTARTDEHYDRA-CPLX	105.0	ttdA // ygjA // b3061 // ECK3051 // ttdB // ygjB // b3062 // ECK3052
3-ISOPROPYLMALISOM-CPLX		leuC // b0072 // ECK0074 // leuD // b0071 // ECK0073
GLUCARDEHYDRA-MONOMER	49.141	gudD // ygcX // b2787 // ECK2781
CPLX0-8537		garD // yhaG // b3128 // ECK3116
DTDPGLUCDEHYDRAT2-MONOMER	39.754	rffG // rff // b3788 // ECK3780
DTDPGLUCDEHYDRAT-CPLX	88.0	rfbB // som // rmlB // b2041 // ECK2035
GDPMANDEHYDRA-CPLX		gmd // yefN // yefA // b2053 // ECK2047
FABZ-CPLX	116.0	fabZ // sfhC21 // sabA1 // sefA // yaeA // b0180 // ECK0179
FABA-CPLX		fabA // b0954 // ECK0945
ALTRODEHYDRAT-MONOMER	54.093 // 51.0	uxaA // ygjW // b3091 // ECK3082
CPLX0-8233		psuG // yeiN // pscG // b2165 // ECK2158
UROGENIIISYN-MONOMER	27.798 // 28.0	hemD // b3804 // ECK3798
G6199-MONOMER	53.952 // 54.0	prpD // yahT // acnC // b0334 // ECK0331
MANNONDEHYDRAT-MONOMER	44.838 // 40.0	uxuA // b4322 // ECK4313
CPLX0-7951	151.0	mhpD // mhpS // b0350 // ECK0347
G6141-MONOMER	69.399	yagF // b0269 // ECK0270
G7910-MONOMER	70.017	yjhG // b4297 // ECK4286
DIHYDROXYACIDDEHYDRAT-CPLX		ilvD // b3771 // ECK3763
CPLX0-7722		rhmD // yfaW // b2247 // ECK2240
CPLX0-7761	180.0	acnB // yacJ // yacI // b0118 // ECK0117
EG10246-MONOMER	49.417	mltD // yafG // dniR // b0211 // ECK0211
G7457-MONOMER	40.411 // 38.0	mltA // ygdM // mlt // b2813 // ECK2809
G6622-MONOMER	22.227	emtA // ycgP // mltE // sltZ // b1193 // ECK1181
EG11494-MONOMER	38.247	mltG // yceG // b1097 // ECK1083
G7410-MONOMER	40.256 // 36.0	mltB // slt // b2701 // ECK2696
G7533-MONOMER	40.113	mltC // yggZ // b2963 // ECK2958
EG11373-MONOMER	58.302	mltF // yfhD // b2558 // ECK2556
EG10950-MONOMER	73.353 // 65.0	slt // sltY // b4392 // ECK4384
THRESYN-MONOMER	47.114 // 48.0	thrC // b0004 // ECK0004
METHGLYSYN-CPLX	67.0	mgsA // mgs // yccG // b0963 // ECK0954
AROB-MONOMER	38.881 // 56.0	aroB // b3389 // ECK3376
AROC-CPLX	144.0	aroC // b2329 // ECK2323
EG12438-MONOMER	27.682 // 25.4	menH // yfbB // b2263 // ECK2257
ASPARTASE-CPLX		aspA // b4139 // ECK4133
CPLX0-1401	78.0	ygeX // b2871 // ECK2867
CPLX0-7622		tdcG // b3111 // yhaQ // b3112 // tdcGa // yhaP // sdhY // b4471 // ECK3101
THREDEHYDCAT-CPLX	147.0	tdcB // tdc // b3117 // ECK3106
LSERINEDEAM1-MONOMER	48.907	sdaA // b1814 // ECK1812
LSERINEDEAM2-MONOMER	48.753	sdaB // b2797 // ECK2792
DSERDEAM-MONOMER	47.901 // 45.5	dsdA // b2366 // ECK2362
THREDEHYDSYN-CPLX		ilvA // ile // b3772 // ECK3764
ETHAMLY-CPLX	470.0	eutB // b2441 // ECK2436 // eutC // b2440 // ECK2435
ARGSUCCINLYA-MONOMER	50.318	argH // b3960 // ECK3951
GLUTAMIDOTRANS-CPLX		hisH // b2023 // ECK2018 // hisF // b2025 // ECK2020
CPLX0-7959	211.0	purB // ade(h) // ade // b1131 // ECK1117
G6275-MONOMER	18.17	allA // glxA2 // ybbT // b0505 // ECK0498
EG12403-MONOMER	25.512	chaC // b1218 // ECK1212
DIHYDRODIPICSYN-CPLX	140.0	dapA // b2478 // ECK2474
G7443-MONOMER	25.03	queE // ygcF // b2777 // ECK2771
G7622-MONOMER	45.361	cyuA // b3109 // yhaN // b3108 // yhaM // b4470 // ECK3099
CPLX0-8092	90.0	malY // b1622 // ECK1617
CYSTATHIONINE-BETA-LYASE-CPLX	280.0	metC // b3008 // ECK3000
DCYSDESULF-CPLX	67.0	dcyD // yedO // b1919 // ECK1918
EG12712-MONOMER	19.416	luxS // ygaG // b2687 // ECK2681
GLYOXI-CPLX	30.0	gloA // b1651 // ECK1647
ADENYLATECYC-MONOMER	97.586 // 95.0	cyaA // cya // b3806 // ECK3800
CPLX0-721		ispF // ygbB // b2746 // ECK2741
CPLX-8331	104.5	moaC // chlA3 // b0783 // ECK0772
GUANYLCYC-MONOMER	30.0	
EG10856-MONOMER	29.618 // 27.0	rna // rnsA // b0611 // ECK0604
EG12096-MONOMER	12.492	chpB // yjfE // chpBK // b4225 // ECK4221
EG10719-MONOMER	31.845 // 38.0	phnJ // b4098 // ECK4091
PROTOHEME-FERROCHELAT-MONOMER	35.884 // 35.0	hemH // popA // visA // b0475 // ECK0469
CPLX0-7810	89.9	efeB // ycdB // b1019 // ECK1009
CPLX0-8251	50.0	ygeA // b2840 // ECK2838
CPLX0-8202		alr // alr5 // b4053 // ECK4045
CPLX0-7465		dadX // alnA // alnB // dadB // b1190 // ECK1178
G6661-MONOMER	34.674	ycjG // ycjH // b1325 // ECK1321
GLUTRACE-MONOMER	31.002 // 31.0	murI // yijA // dga // glr // b3967 // ECK3959
CPLX0-7997	61.3	dapF // b3809 // ECK3804
EG11957-MONOMER	26.109	alsE // yjcU // b4085 // ECK4078
RIBULP3EPIM-MONOMER	24.554 // 24.0	rpe // dod // yhfD // b3386 // ECK3373
DTDPDEHYDRHAMEPIM-MONOMER	21.27	rfbC // rfbD // rmlC // b2038 // ECK2032
CPLX0-8008	78.0	wecB // yifF // nfrC // rffE // mnaA // b3786 // ECK3778
UDPGLUCEPIM-CPLX	79.0	galE // galD // b0759 // ECK0748
CPLX0-3681	240.0	rfaD // waaD // hldD // htrM // nbsB // b3619 // ECK3609
G7859-MONOMER	32.007	ulaE // sgaU // yjfW // b4197 // ECK4193
EG12286-MONOMER	32.455	sgbU // yiaR // b3582 // ECK3571
CPLX0-7658		nanM // yjhT // b4310 // ECK4301
CPLX0-7645	95.3	fucU // b2804 // ECK2799
ALDOSE1EPIM-MONOMER	38.19 // 38.0	galM // b0756 // ECK0745
CPLX0-7649	23.7	rhaM // yiiL // b3901 // ECK3894
EG12287-MONOMER	25.561	sgbE // yiaS // b3583 // ECK3572
RIBULPEPIM-CPLX	127.0	araD // b0061 // ECK0062
G7860-MONOMER	25.278	ulaF // yjfX // sgaE // b4198 // ECK4194
CPLX0-3861	260.0	frlC // b3373 // yhfP // yhfO // b3372 // b4474 // ECK3360
NANE-MONOMER	24.074	nanE // yhcJ // b3223 // ECK3212
METHYLMALONYL-COA-EPIM-MONOMER		
FOLXTET-CPLX	100.0	folX // b2303 // ECK2297
EG12352-MONOMER	10.232 // 10.1	ppiC // parvA // b3775 // ECK3767
EG10757-MONOMER	20.431 // 18.5	ppiA // rot // rotA // b3363 // ECK3351
EG11003-MONOMER	48.193 // 55.0	tig // b0436 // ECK0430
CPLX0-7536	44.0	slyD // b3349 // ECK3336
G7716-MONOMER	28.882	fkpA // yzzS // b3347 // ECK3334
EG10758-MONOMER	18.153 // 20.0	ppiB // b0525 // ECK0518
EG10985-MONOMER	47.284	surA // b0053 // ECK0054
EG11080-MONOMER	16.081 // 15.9	fkpB // slpA // yaaD // b0028 // ECK0029
CPLX0-3924	53.2	fklB // ytfC // b4207 // ECK4203
RIB5PISOMB-CPLX	33.0	rpiB // yjcA // alsI // b4090 // ECK4083
TPI		tpiA // tpi // b3919 // ECK3911
UXAC-MONOMER	53.987 // 50.5	uxaC // ygjY // ygjX // ygjZ // b3092 // ECK3083
CPLX0-3929	133.0	gutQ // srlQ // b2708 // ECK2703
CPLX0-1262	122.0	kdsD // yrbH // b3197 // ECK3186
CPLX0-7652	188.0	rhaA // b3903 // ECK3896
PRIBFAICARPISOM-MONOMER	26.033	hisA // b2024 // ECK2019
CPLX-8401	165.0	kduI // yqeE // b2843 // ECK2841
CPLX-171	58.0	hyi // ybbG // gip // b0508 // ECK0501
CPLX0-7631	355.0	fucI // b2802 // ECK2797
CPLX0-7660		gmhA // yafI // lpcA // tfrA // b0222 // ECK0223
CPLX0-7683		yihS // squS // b3880 // ECK3873
G6805-MONOMER	11.255	lsrG // yneC // b1518 // ECK1511
ARABISOM-CPLX	362.0	araA // b0062 // ECK0063
XYLISOM-CPLX	96.0	xylA // b3565 // ECK3554
RIB5PISOMA-CPLX	45.0	rpiA // ygfC // b2914 // ECK2910
MANNPISOM-MONOMER	42.85 // 42.0	manA // pmi // b1613 // ECK1608
CPLX0-7877	125.0	pgi // b4025 // ECK4017
G6715-MONOMER	28.405	paaG // ydbT // b1394 // ECK1391
IPPISOM-MONOMER	20.508 // 20.5	idi // ygfV // b2889 // ECK2884
DSBG-CPLX		dsbG // ybdP // b0604 // ECK0598
DSBC-CPLX		dsbC // xprA // b2893 // ECK2888
PHOSGLUCOSAMINEMUT-MONOMER	47.544	glmM // yhbF // mrsA // b3176 // ECK3165
PHOSGLYCMUTASE	49.0	gpmA // gpm // b0755 // ECK0744
PGMI-MONOMER	56.194 // 61.0	gpmM // gpmC // pgmI // gpmI // yibO // b3612 // ECK3602
PHOSPHOGLUCMUT-MONOMER	58.361 // 62.0	pgm // blu // b0688 // ECK0676
G6655-MONOMER	23.565	ycjU // pgmB // b1317 // ECK1312
PPENTOMUT-MONOMER	44.37 // 45.0	deoB // tlr // drm // thyR // b4383 // ECK4375
PHOSMANMUT-MONOMER	50.463	cpsG // rfbK // manB // b2048 // ECK2042
G7836-MONOMER	38.75	epmB // yjeK // b4146 // ECK4140
GSAAMINOTRANS-CPLX	80.0	hemL // gsa // popC // b0154 // ECK0153
MENF-CPLX	98.0	menF // yfbA // b2265 // ECK2259
ENTC-MONOMER	42.932 // 44.0	entC // fepF // b0593 // ECK0586
CPLX0-7728	66.0	truA // asuC // hisT // leuK // b2318 // ECK2312
PURE-CPLX	126.0	purE // ade(f) // Pur2 // ade3 // ade // b0523 // ECK0516
EG12044-MONOMER	25.865 // 32.5	rsuA // yejD // b2183 // ECK2177
CPLX0-7741	160.0	scpA // yliK // sbm // b2917 // ECK2913
G6581-MONOMER	24.88	rluE // ymfC // b1135 // ECK1121
EG11921-MONOMER	32.477	rluF // yjbC // b4022 // ECK4014
EG12433-MONOMER	32.711	rluB // yciL // b1269 // ECK1263
EG12098-MONOMER	37.122 // 37.0	rluD // yfiI // sfhB // yfil // b2594 // ECK2592
EG11118-MONOMER	36.027	rluC // yceC // b1086 // ECK1071
EG11177-MONOMER	35.087 // 39.7	truB // yhbA // b3166 // ECK3155
G7449-MONOMER	29.666	truC // yqcB // b2791 // ECK2785
G7422-MONOMER	39.091	truD // ygbO // b2745 // ECK2740
EG12609-MONOMER	24.861 // 30.0	rluA // yabO // b0058 // ECK0059
CHORISMUTPREPHENDEHYDROG-CPLX	88.0	tyrA // b2600 // ECK2597
CHORISMUTPREPHENDEHYDRAT-CPLX	85.0	pheA // b2599 // ECK2596
CPLX0-7646	150.0	rbsD // rbsP // b3748 // ECK3742
GALPMUT-MONOMER	42.966 // 42.9	glf // yefE // b2036 // ECK2030
RECBCD	330.0	recD // hopE // b2819 // ECK2815 // recC // b2822 // ECK2818 // recB // ior // rorA // b2820 // ECK2816
CPLX0-8557		deaD // csdA // mssB // rhlD // b3162 // ECK3150
CPLX0-3931		rep // dasC // mbrA // mmrA // b3778 // ECK3770
EG10833-MONOMER	68.363	recQ // b3822 // ECK3816
CPLX0-3541		rhlB // mmrA // b3780 // ECK3772
EG10426-MONOMER	77.976 // 75.0	helD // srjB // b0962 // ECK0953
EG10826-MONOMER	66.902	recD // hopE // b2819 // ECK2815
EG11357-MONOMER	81.44	dinG // rarB // b0799 // ECK0788
EG10975-MONOMER	49.914 // 50.0	srmB // rbaB // rhlA // b2576 // ECK2574
EG10824-MONOMER	133.959 // 135.0	recB // ior // rorA // b2820 // ECK2816
CPLX0-8111		uvrD // uvr502 // srjC // uvrE // dar-2 // dda // mutU // pdeB // rad // recL // b3813 // ECK3808
EG10210-MONOMER	49.188 // 50.0	dbpA // rhlC // b1343 // ECK1340
EG11235-MONOMER	49.989	rhlE // b0797 // ECK0786
CPLX0-3621		dnaB // groP // grpA // grpD // b4052 // ECK4044
EG11013-MONOMER	97.35	topA // supX // b1274 // ECK1268
EG11014-MONOMER	73.217 // 74.0	topB // mutR // b1763 // ECK1761
CPLX0-2425		gyrA // hisW // nalA // nfxA // norA // parD // b2231 // ECK2223 // gyrB // cou // hopA // pcpA // pcbA // parA // nalC // Cou // acrB // himB // hisU // b3699 // ECK3691
EG10737-MONOMER	20.573	pinE // pin // b1158 // ECK1144
TYRS-CPLX	90.0	tyrS // b1637 // ECK1633
METG-CPLX	173.0	metG // b2114 // ECK2107
SERS-CPLX	95.0	serS // b0893 // ECK0884
ASPS-CPLX		aspS // tls // b1866 // ECK1867
GLYS-CPLX	205.0	glyS // glyS(B) // gly // gly-act // b3559 // ECK3547 // glyQ // cfcA // glyS(A) // b3560 // ECK3548
PROS-CPLX		proS // drp // drpA // b0194 // ECK0194
CYSS-MONOMER	52.202 // 55.0	cysS // syc // b0526 // ECK0519
GLURS-MONOMER	53.816 // 56.0	gltX // gltM // gluRS // b2400 // ECK2394
GLNS-MONOMER	63.478 // 64.5	glnS // b0680 // ECK0668
ARGS-MONOMER	64.683 // 60.0	argS // lov // lov-1 // b1876 // ECK1877
TRPS-CPLX	74.0	trpS // b3384 // ECK3371
PHES-CPLX	250.0	pheS // phe-act // b1714 // ECK1712 // pheT // b1713 // ECK1711
HISS-CPLX	86.0	hisS // b2514 // ECK2510
ASNS-CPLX	100.0	asnS // lcs // tss // b0930 // ECK0921
THRS-CPLX	150.0	thrS // b1719 // ECK1717
LEUS-MONOMER	97.234	leuS // syl // b0642 // ECK0635
ILES-MONOMER	104.297 // 102.0	ileS // ilvS // b0026 // ECK0027
LYSS-CPLX		lysS // asuD // herC // b2890 // ECK2885
LYSU-CPLX		lysU // b4129 // ECK4123
ALAS-CPLX	245.0	alaS // act // ala-act // lovB // b2697 // ECK2692
VALS-MONOMER	108.192 // 110.0	valS // val-act // b4258 // ECK4251
ENTF-PANT	141.9908 // 142.0	entF // b0586 // ECK0579
EG11551-MONOMER	82.066 // 80.0	hypF // hydA // b2712 // ECK2707
ACS-MONOMER	72.094 // 72.0	acs // yfaC // acsA // b4069 // ECK4062
ACYLCOASYN-CPLX	130.0	fadD // oldD // b1805 // ECK1803
G6200-MONOMER	69.351	prpE // yahU // b0335 // ECK0332
EG12357-MONOMER	62.759	fadK // ydiD // b1701 // ECK1699
CITC-MONOMER	40.077	citC // ybeO // b0618 // ECK0611
MENE-CPLX	185.0	menE // b2260 // ECK2254
G6719-MONOMER	48.953	paaK // b1398 // ECK1395
CAIC-MONOMER	58.559 // 60.0	caiC // yaaM // b0037 // ECK0038
SUCCCOASYN		sucD // b0729 // ECK0717 // sucC // b0728 // ECK0716
GARTRANSFORMYL2-MONOMER	42.434 // 41.9	purT // b1849 // ECK1850
ASNSYNA-CPLX	71.6	asnA // b3744 // ECK3738
CPLX0-7709	630.0	puuA // ycjK // b1297 // ECK1292
GLUTAMINESYN-OLIGOMER		glnA // b3870 // ECK3863
EG11796-MONOMER	37.926 // 38.0	lplA // yjjF // slr // b4386 // ECK4378
NAD-SYNTH-CPLX	60.2	nadE // efg // ntrL // b1740 // ECK1738
GSP-CPLX	138.0	gss // gsp // b2988 // ECK2982
CPLX0-7889		epmA // genX // poxA // yjeA // b4155 // ECK4151
CPLX0-7946	137.2	rimK // nek // b0852 // ECK0843
PANTOATE-BETA-ALANINE-LIG-CPLX	65.0	panC // b0133 // ECK0132
UDP-NACMURALGLDAPAALIG-MONOMER	47.447 // 49.0	murF // mra // b0086 // ECK0087
UDP-NACMURALGLDAPLIG-MONOMER	53.344 // 55.0	murE // b0085 // ECK0086
ENTE-CPLX	115.0	entE // b0594 // ECK0587
MONOMER0-1661		
FOLC-MONOMER	45.406 // 47.0	folC // dedC // b2315 // ECK2309
GLUTCYSLIG-MONOMER	58.269 // 56.0	gshA // gsh-I // b2688 // ECK2683
GLUTATHIONE-SYN-CPLX	152.0	gshB // gsh-II // b2947 // ECK2942
DALADALALIGB-CPLX	64.0	ddlB // ddl // b0092 // ECK0093
DALADALALIGA-MONOMER	39.316 // 44.0	ddlA // b0381 // ECK0376
EG12440-MONOMER	49.874	mpl // tpl // yjfG // b4233 // ECK4228
CPLX0-341	600.0	dfp // coaBC // b3639 // ECK3629
SAICARSYN-CPLX	76.0	purC // ade(g) // ade // b2476 // ECK2472
CPLX0-8014		murC // b0091 // ECK0092
UDP-NACMURALA-GLU-LIG-MONOMER	46.974 // 50.0	murD // b0088 // ECK0089
AIRS-CPLX	71.7	purM // purG // purI // b2499 // ECK2495
EG11158-MONOMER	21.105 // 22.0	fau // ygfA // b2912 // ECK2907
DETHIOBIOTIN-SYN-CPLX	42.0	bioD // b0778 // ECK0767
GLYCRIBONUCSYN-MONOMER	45.94 // 46.8	purD // adth(a) // adth // b4005 // ECK3997
BIOTIN-CARBOXYL-CPLX		accC // fabG // b3256 // ECK3243
BIOTINLIG-MONOMER	35.312	birA // bioR // dhbB // b3973 // ECK3965
PURK-CPLX	79.0	purK // purE2 // b0522 // ECK0515
G6096-MONOMER	48.204	tilS // yaeN // mesJ // b0188 // ECK0187
CTPSYN-CPLX	300.0	pyrG // b2780 // ECK2774
G6245-MONOMER	25.514	queC // ybaX // b0444 // ECK0438
NICOTINATEPRIBOSYLTRANS-MONOMER	45.897 // 43.0	pncB // b0931 // ECK0922
ADENYLOSUCCINATE-SYN-DIMER	141.0	purA // adeK // b4177 // ECK4173
CPLX0-238		argG // b3172 // ECK3161
GMP-SYN-CPLX	126.0	guaA // b2507 // ECK2503
FGAMSYN-MONOMER	141.402 // 135.0	purL // purI // b2557 // ECK2555
ASNSYNB-CPLX		asnB // b0674 // ECK0662
CARBPSYN-CPLX		carB // cap // pyrA // b0033 // ECK0034 // carA // arg // b0032 // ECK0033
PROPIONYL-COA-CARBOXY-MONOMER		
EG11334-MONOMER	63.179	ligB // yicF // b3647 // ECK3637
EG10534-MONOMER	73.606	ligA // dnaL // lig // lop // pdeC // b2411 // ECK2406
G7751-MONOMER	45.222 // 45.0	rtcB // yhgL // b3421 // ECK3407
NADH-DHI-CPLX	550.0	nuoA // b2288 // ECK2282 // nuoH // b2282 // ECK2276 // nuoJ // b2280 // ECK2274 // nuoK // b2279 // ECK2273 // nuoL // b2278 // ECK2272 // nuoM // b2277 // ECK2271 // nuoN // b2276 // ECK2270 // nuoI // b2281 // ECK2275 // nuoG // b2283 // ECK2277 // nuoF // b2284 // ECK2278 // nuoE // b2285 // ECK2279 // nuoC // nuoD // b2286 // ECK2280 // nuoB // b2287 // ECK2281
CYT-O-UBIOX-CPLX		cyoD // b0429 // ECK0423 // cyoA // b0432 // ECK0426 // cyoB // b0431 // ECK0425 // cyoC // b0430 // ECK0424
APP-UBIOX-CPLX		appC // cbdA // cyxA // b0978 // ECK0969 // appB // cbdB // cyxB // b0979 // ECK0970
CYT-D-UBIOX-CPLX		cydA // cyd-1 // b0733 // ECK0721 // cydB // cyd-2 // b0734 // ECK0722 // cydX // ybgT // b4515 // ECK0723 // cydH // ynhF // b4602 // ECK4411
NAPC-MONOMER	23.101	napC // yejX // b2202 // ECK2194
CPLX0-8238		nrfD // yjcK // b4073 // ECK4066 // nrfC // yjcJ // b4072 // ECK4065
CPLX0-3241		napG // yojA // yojB // b2205 // ECK2197 // napH // yejZ // b2204 // ECK2196
